time,condition,detected_context,scenario_context,detected_emotion,scenario_emotion,reply_emotion
1553857801,3,kitchen,Home,Angry,Upset,Supportive
1553859719,0,kitchen,Home,Angry,Upset,Neutral
1553859741,0,kitchen,Home,Angry,Angry,Neutral
1553859761,0,kitchen,Home,Angry,Neutral,Neutral
1553859780,0,kitchen,Home,Angry,Happy,Neutral
1553860001,1,kitchen,Home,Angry,Angry,Angry
1553860030,1,kitchen,Home,Angry,Happy,Angry
1553860055,1,kitchen,Home,Angry,Upset,Neutral
1553860079,1,kitchen,Home,Angry,Neutral,Angry
1553860210,2,kitchen,Home,Angry,Happy,Happy
1553860234,2,kitchen,Home,Angry,Neutral,Neutral
1553860257,2,kitchen,Home,Angry,Angry,Supportive
1553860281,2,kitchen,Home,Angry,Upset,Supportive
1553860370,3,kitchen,Home,Angry,Neutral,Neutral
1553860400,3,kitchen,Home,Angry,Upset,Supportive
1553860428,3,kitchen,Home,Angry,Neutral,Happy
1553860449,3,kitchen,Home,Angry,Happy,Happy
1553860478,3,kitchen,Home,Angry,Angry,Supportive
1553868315,0,kitchen,Home,Angry,Happy,Neutral
1553868339,0,kitchen,Home,Upset,Neutral,Neutral
1553868364,0,kitchen,Home,Angry,Upset,Neutral
1553868387,0,kitchen,Home,Angry,Angry,Neutral
1553868528,1,kitchen,Home,Angry,Angry,Happy
1553868565,1,kitchen,Home,Angry,Happy,Angry
1553868591,1,kitchen,Home,Angry,Neutral,Sad
1553868617,1,kitchen,Home,Angry,Upset,Happy
1553868725,2,kitchen,Home,Angry,Upset,Supportive
1553868758,2,kitchen,Home,Angry,Angry,Supportive
1553868786,2,kitchen,Home,Angry,Happy,Supportive
1553868814,2,kitchen,Home,Angry,Neutral,Supportive
1553868959,3,kitchen,Home,Angry,Neutral,Happy
1553868988,3,kitchen,Home,Angry,Upset,Sad
1553869030,3,kitchen,Home,Angry,Neutral,Supportive
1553869053,3,kitchen,Home,Angry,Neutral,Supportive
1553869096,3,kitchen,Home,Angry,Happy,Happy
1553869123,3,kitchen,Home,Angry,Neutral,Supportive
1553869163,3,kitchen,Home,Angry,Neutral,Supportive
1553872609,0,kitchen,Home,Angry,Happy,Neutral
1553872643,0,kitchen,Home,Angry,Neutral,Neutral
1553872670,0,kitchen,Home,Angry,Angry,Neutral
1553872701,0,kitchen,Home,Angry,Upset,Neutral
1553872852,1,kitchen,Home,Angry,Neutral,Angry
1553872886,1,kitchen,Home,Angry,Happy,Supportive
1553872915,1,kitchen,Home,Angry,Upset,Happy
1553872942,1,kitchen,Home,Angry,Angry,Angry
1553873130,2,kitchen,Home,Angry,Angry,Supportive
1553873156,2,kitchen,Home,Angry,Upset,Supportive
1553873180,2,kitchen,Home,Angry,Neutral,Supportive
1553873207,2,kitchen,Home,Angry,Neutral,Supportive
1553873331,3,kitchen,Home,Angry,Neutral,Supportive
1553873387,3,kitchen,Home,Angry,Angry,Supportive
1553873419,3,kitchen,Home,Angry,Happy,Happy
1553873453,3,kitchen,Home,Angry,Neutral,Happy1554662571.029084,0,kitchen,Home,Angry,Neutral,Neutral
1556075537.446975,0,dummy,Home,Upset,Neutral,Neutral
1556075569.37078,2,workshop,Home,Upset,Neutral,Supportive
1556075636.3845031,0,workshop,Home,Upset,Neutral,Neutral
1556075741.0944672,0,kitchen,Home,Upset,Neutral,Neutral
1556075764.15394,0,kitchen,Home,Upset,Neutral,Neutral
1556075792.298225,0,workshop,Home,Upset,Neutral,Neutral
1556075814.4125812,2,workshop,Home,Upset,Neutral,Supportive
1556075832.121506,2,workshop,Home,Upset,Neutral,Supportive
1556075851.383977,2,workshop,Home,Upset,Neutral,Supportive
1556075864.997741,2,workshop,Home,Upset,Neutral,Supportive
1556075880.4595442,2,kitchen,Home,Upset,Neutral,Supportive
1558681930.744163,0,dummy,Home,Upset,Neutral,Neutral
1558681950.708748,0,kitchen,Home,Upset,Neutral,Neutral
1558681963.610913,0,kitchen,Home,Upset,Neutral,Neutral
1558681998.900356,0,kitchen,Home,Upset,Neutral,Neutral
1560316802.044157,2,kitchen,Home,Angry,Neutral,Supportive
1560317481.380075,2,kitchen,Home,Angry,Neutral,Supportive
1560344240.085112,2,dummy,Home,Angry,Neutral,Supportive
1560344257.95488,2,dummy,Home,Angry,Neutral,Supportive
1560344866.215701,2,dummy,Home,Angry,Neutral,Supportive
1560345098.8672798,2,dummy,Home,Angry,Neutral,Supportive
1560345236.287861,2,dummy,Home,Angry,Neutral,Supportive
1560345316.670642,2,dummy,Home,Angry,Neutral,Supportive
